iter	Passed	Remaining
0	1	167
1	2	143
2	4	130
3	4	118
4	6	115
5	7	116
6	8	111
7	9	107
8	10	104
9	11	100
10	12	98
11	13	96
12	14	97
13	15	95
14	16	93
15	17	92
16	18	90
17	19	91
18	20	89
19	21	87
20	22	86
21	23	84
22	25	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	35	74
32	36	73
33	37	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	50	54
48	50	53
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	67	31
68	68	30
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
